IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.55,4,4,0.00,57.80,13.05,NRT
172.64.149.208,4,4,0.00,80.20,12.77,SIN
172.64.154.23,4,4,0.00,75.69,11.19,SIN
172.64.52.0,4,4,0.00,49.66,0.00,N/A
108.162.198.132,4,4,0.00,60.17,0.00,N/A
162.159.38.251,4,4,0.00,64.95,0.00,N/A
172.64.47.187,4,4,0.00,77.31,0.00,N/A
162.159.25.59,4,4,0.00,79.35,0.00,N/A
162.159.51.143,4,4,0.00,79.87,0.00,N/A
162.159.36.244,4,4,0.00,80.13,0.00,N/A
173.245.59.47,4,4,0.00,80.42,0.00,N/A
162.159.24.210,4,4,0.00,80.44,0.00,N/A
162.159.60.153,4,4,0.00,80.54,0.00,N/A
198.41.211.71,4,4,0.00,80.79,0.00,N/A
162.159.22.38,4,4,0.00,81.20,0.00,N/A
162.159.20.201,4,4,0.00,81.26,0.00,N/A
172.64.50.177,4,4,0.00,81.75,0.00,N/A
162.159.56.32,4,4,0.00,81.89,0.00,N/A
162.159.35.135,4,4,0.00,81.98,0.00,N/A
104.18.38.109,4,4,0.00,82.62,0.00,N/A
108.162.195.125,4,4,0.00,82.62,0.00,N/A
162.159.61.29,4,4,0.00,82.62,0.00,N/A
162.159.23.235,4,4,0.00,82.80,0.00,N/A
172.64.145.175,4,4,0.00,83.28,0.00,N/A
104.18.35.207,4,4,0.00,83.36,0.00,N/A
104.18.34.29,4,4,0.00,83.36,0.00,N/A
172.64.146.239,4,4,0.00,83.46,0.00,N/A
172.64.157.242,4,4,0.00,83.53,0.00,N/A
162.159.57.144,4,4,0.00,83.53,0.00,N/A
172.64.32.126,4,4,0.00,83.60,0.00,N/A
162.159.0.40,4,4,0.00,83.74,0.00,N/A
162.159.1.135,4,4,0.00,83.84,0.00,N/A
162.159.7.164,4,4,0.00,83.84,0.00,N/A
162.159.34.244,4,4,0.00,83.87,0.00,N/A
172.64.48.2,4,4,0.00,83.93,0.00,N/A
162.159.48.88,4,4,0.00,83.95,0.00,N/A
172.64.144.232,4,4,0.00,84.10,0.00,N/A
172.64.41.92,4,4,0.00,84.15,0.00,N/A
162.159.33.217,4,4,0.00,84.21,0.00,N/A
162.159.58.229,4,4,0.00,84.32,0.00,N/A
162.159.2.49,4,4,0.00,84.57,0.00,N/A
162.159.40.65,4,4,0.00,84.76,0.00,N/A
162.159.10.85,4,4,0.00,84.82,0.00,N/A
104.18.33.41,4,4,0.00,84.86,0.00,N/A
162.159.50.197,4,4,0.00,85.05,0.00,N/A
108.162.196.113,4,4,0.00,85.11,0.00,N/A
108.162.193.113,4,4,0.00,85.11,0.00,N/A
108.162.192.23,4,4,0.00,85.11,0.00,N/A
173.245.58.160,4,4,0.00,85.27,0.00,N/A
162.159.62.198,4,4,0.00,85.59,0.00,N/A
172.64.49.242,4,4,0.00,85.79,0.00,N/A
162.159.32.87,4,4,0.00,85.95,0.00,N/A
162.159.27.148,4,4,0.00,86.02,0.00,N/A
162.159.15.87,4,4,0.00,86.12,0.00,N/A
172.64.40.166,4,4,0.00,86.48,0.00,N/A
162.159.16.189,4,4,0.00,86.93,0.00,N/A
162.159.11.216,4,4,0.00,87.13,0.00,N/A
